!TRNS	TRNSID	TRNSTYPE	DATE	ACCNT	NAME	AMOUNT	DOCNUM	MEMO	NAMEISTAXABLE	ADDR1	ADDR2	ADDR3	ADDR4	DUEDATE	TERMS	PAID
!SPL	SPLID	TRNSTYPE	DATE	ACCNT	NAME	AMOUNT	DOCNUM	MEMO	PRICE	INVITEM	PAYMETH	TAXABLE	VALADJ	TAXCODE	TAXAMOUNT	TAXITEM
!ENDTRNS																
TRNS	4	TAX INVOICE	02/28/13	Accounts Receivable	"Microsoft Australia"	0.00	9900004022813	9900004						03/28/13		
SPL	5	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	6	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	8	TAX INVOICE	02/28/13	Accounts Receivable	"Sure Slim"	0.00	9900005022813	9900005						03/28/13		
SPL	9	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	10	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	12	TAX INVOICE	02/28/13	Accounts Receivable	"Millink"	0.00	9900006022813	9900006						03/28/13		
SPL	13	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	14	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	16	TAX INVOICE	02/28/13	Accounts Receivable	"Chickarovski and Associates Pty Ltd"	0.00	9900007022813	9900007						03/28/13		
SPL	17	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	18	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	20	TAX INVOICE	02/28/13	Accounts Receivable	"Campbell & Co. Lawyers"	0.00	9900008022813	9900008						03/28/13		
SPL	21	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
